iteration,hop_avg_rtt_ms,cost_avg_rtt_ms,dqn_avg_rtt_ms
1,0.069,0.057,0.067
2,0.052,0.062,0.068
3,0.074,0.066,0.066
4,0.067,0.06,0.064
5,0.061,0.068,0.051
6,0.066,0.069,0.05
7,0.05,0.064,0.068
8,0.059,0.072,0.069
9,0.07,0.065,0.066
10,0.064,0.057,0.068
11,0.053,0.067,0.055
12,0.064,0.069,0.048
13,0.07,0.071,0.068
14,0.066,0.05,0.064
15,0.054,0.067,0.05
16,0.087,0.05,0.066
17,0.07,0.081,0.071
18,0.071,0.065,0.063
19,0.055,0.051,0.052
20,0.059,0.049,0.067
21,0.068,0.069,0.068
22,0.065,0.063,0.072
23,0.062,0.062,0.068
24,0.07,0.062,0.059
25,0.055,0.061,0.064
26,0.052,0.064,0.066
27,0.069,0.066,0.06
28,0.047,0.071,0.066
29,0.056,0.066,0.069
30,0.056,0.064,0.062
31,0.073,0.077,0.071
32,0.066,0.09,0.082
33,0.065,0.077,0.065
34,0.076,0.054,0.066
35,0.072,0.052,0.071
36,0.07,0.067,0.069
37,0.068,0.068,0.065
38,0.067,0.068,0.07
39,0.069,0.072,0.064
40,0.116,0.071,0.07
41,0.066,0.07,0.056
42,0.068,0.056,0.072
43,0.073,0.078,0.055
44,0.065,0.071,0.054
45,0.067,0.059,0.069
46,0.073,0.058,0.056
47,0.067,0.067,0.068
48,0.064,0.069,0.068
49,0.069,0.068,0.06
50,0.073,0.07,0.059
